Silver Medalist,,15844273,2009-1-20
Yau lung hei fung (Look for a Star),,14938886,2009-1-26
Niu Qi Chong Tian,,11043191,2009-1-16
Star Trek,,8556951,2009-5-15
Transporter 3,,8556760,2009-2-12
Valkyrie,,8041799,2009-2-26
Dragonball Evolution,,7936392,2009-3-14
Madagascar: Escape 2 Africa,,5278943,2009-1-1
"Ga yau hei si 2009 (All's Well, Ends Well 2009)",,4530375,2009-1-22
Les Deux mondes,,3712419,2009-3-5
Hai jiao qi hao (Cape No. 7),,2909204,2009-2-14
Gao xing,,2774168,2009-2-4
Oi dut hei (Give Love),,2758816,2009-2-13
Zwartboek (Black Book),,2620617,2009-2-3
Australia,,2402985,2009-1-28
Slumdog Millionaire,,2280068,2009-3-26
Alone in the Dark,,2250837,2009-3-20
Skalolazka and the Latter from the Seventh Cradle,,2016984,2009-3-6
Ashes of Time Redux,,1169266,2009-3-27
Bridge to Terabithia,,686355,2009-1-26
Inu to watashi no 10 no yakusoku (10 Promises to My Dog),,613344,2009-1-26
Chan mat (Claustraphobia),,438808,2009-3-6
Irreversi,,262816,2009-2-20
August Rush,,218988,2009-1-23
Xi Zang Jin Xi ,,189812,2009-2-15
Ye Mei Gui (Night Rose),,175441,2009-3-5
Er shi si cheng ji (24 City),,160633,2009-3-6
Tao Qi Bao Ma Xiao Tiao,,145992,2009-1-20
Donkey Xote,,131393,2009-1-16
La Doublure (The Valet),,87685,2009-2-6
Oi ching ku see (Basic Love),,43881,2009-3-20
Ye Zhu Zou Ming Qu,,32911,2009-3-20
Lemonade,,5840,2009-2-12
Chi bi (Red Cliff: Part I),,46698967,2008-7-10
Fei Cheng Wu Rao (If You Are the One),,45257457,2008-12-18
Wa pei (Painted Skin),,33467300,2008-9-26
The Forbidden Kingdom,HuaXia,26899556,2008-4-24
Cheung Gong 7 hou (CJ7),China Film,26166803,2008-1-30
Kung Fu Panda,,26024298,2008-6-20
Quantum of Solace,,21009412,2008-11-5
The Mummy: Tomb of the Dragon Emperor,,17450787,2008-9-5
Mei Lanfang (Forever Enthralled),,16652957,2008-12-4
Guan lan (Kung Fu Dunk),Oriental,15883165,2008-2-8
Iron Man,China Film,15274332,2008-4-30
Hancock,,15093944,2008-7-2
Ip Man,,13728640,2008-12-12
The Chronicles of Narnia: Prince Caspian,China Film,12522570,2008-6-6
"10,000 B.C.",China Film,10851097,2008-3-21
Wanted,,10747059,2008-10-9
National Treasure: Book of Secrets,HuaXia,9951598,2008-3-17
Journey to the Center of the Earth,,9923386,2008-9-28
Saam gwok dzi gin lung se gap (Three Kingdoms: Resurrection of the Dragon),Baoli Bona,9331504,2008-4-3
The Incredible Hulk,,8929638,2008-8-20
The Water Horse: Legend of the Deep,China Film,8752718,2008-2-17
Shi Quan Jiu Mei (Almost Perfect),,6855809,2008-7-28
Bolt,,6578259,2008-12-24
Bo chi tung wah (Connected),,6427392,2008-9-27
Jiang shan mei ren (An Empress and the Warriors),Baoli Bona,6147279,2008-3-6
Flood (2007),,6126825,2008-9-14
The Golden Compass,China Film,4928803,2008-3-27
Ai qing hu jiao zhuan yi II: Ai qing zuo you  (Fit Lover),,4800559,2008-11-26
Tao hua yun (Desires of the Heart),,4509616,2008-11-20
Storm Rider - Clash of Evils,,4382825,2008-7-19
D-War (Dragon Wars),HuaXia,4370573,2008-5-13
Mo hup leung juk (Butterfly Lovers),,4301830,2008-10-9
Neui yan fau pui (All About Women),,3331872,2008-12-11
Sam hoi tsam yan (Missing),,3330558,2008-6-12
Speed Racer,,3184713,2008-8-10
Vinci,Beijing Chuangs,2891421,2008-1-10
Daai sau cha ji neui (Lady Cop & Papa Crook),,2571032,2008-12-23
Man jeuk (Sparrow),,2479761,2008-8-22
The Beast Stalker,,2473015,2008-11-20
Hellboy II: The Golden Army,,2366875,2008-11-21
Next,,2308086,2008-12-2
Huang Cun Ke Zhan (The Deserted Inn),,2260958,2008-8-15
Chao Qiang Tai Feng (Super Typhoon),,2236025,2008-10-24
Butterfly on a Wheel,,2191156,2008-6-26
Jing wu men (Kung Fu Hip Hop),,2161941,2008-6-26
Atonement,China Film,2122170,2008-2-22
Kod apokalipsisa (Apocalypse Code),HuaXia,2044984,2008-4-17
Taken,China Film,2037062,2008-4-11
Hua hua xing jing (Playboy Cops),Shidai Yinying,1893993,2008-2-28
Fool's Gold,China Film,1880542,2008-5-26
Li mi de cai xiang (The Equation of Love and Death),,1869732,2008-9-19
Doraemon: Nobita no shin makai daib?ken (Doraemon the Movie: Nobita's New Great Adventure Into the Underworld - The Seven Magic Users) (2007),China Film,1631483,2008-1-22
The Children of Huang Shi,HuaXia,1627665,2008-4-3
Mee-Shee: The Water Giant,,1578310,2008-9-12
Yat kor ho ba ba (Run Papa Run),Poly Bona,1455223,2008-5-30
Autobahnraser,,1255566,2008-10-15
Babylon A.D.,,1228608,2008-11-17
Fast Track: No Limits,Beijing Shidai,1190456,2008-5-30
The Underdog Knight,,1167457,2008-11-28
I?m Liu Yue Jin,China Film,1135341,2008-1-18
Deadly Delicious,Beijing Jidongxing,1060921,2008-3-7
Long nga (Legendary Assassin),,1019682,2008-12-10
Calabash Brothers,Shanghai,957896,2008-5-27
Hu die fei (Linger),Guangxian,913811,2008-1-11
The Pursuit of Happyness,China Digital,848578,2008-1-17
Chung oi (In Love with the Dead),Dadi Shidai,844583,2008-1-8
Becoming Jane,China Film,800573,2008-2-10
Ji ri qi cheng (Set Off),,759767,2008-9-29
Hui Buh - Das Schlossgespenst,,714796,2008-9-28
27 Dresses,,711654,2008-5-30
Ast?rix aux jeux olympiques,,701510,2008-9-29
Duo Biao (Champions),,658443,2008-10-31
Step Up 2 the Streets,,581378,2008-7-29
Khan Kluay,,538636,2008-6-12
Marriage Trap,Poly Bona,524256,2008-2-14
Help (2007),Shanghai Yixing,505365,2008-1-4
5 Guns of Mercy,China Film,503481,2008-4-11
Sun taam (Mad Detective),Bona Wenhua,456980,2008-2-22
Qian Ting Zong Dong Yuan,China Digital,433971,2008-5-30
Shik-gaek (Le Grand Chef),,427710,2008-3-7
A Chinese Fairy Tale,,328204,2008-8-26
Lichun (And the Spring Comes),,285555,2008-4-11
Mi guo (Lost Indulgence),,285399,2008-11-14
Esquire Runaway,HuaXia,258900,2008-5-16
The Spiderwick Chronicles,IMAX,224524,2008-4-18
Waiting in Beijing,,189795,2008-10-24
Joulutarina (Christmas Story),,189546,2008-12-19
Wushu,,174708,2008-10-24
Out of Control,,160953,2008-11-7
Anaconda Frightened,,142902,2008-4-8
Ha! Ha! Ha!,,129467,2008-5-16
Liang ren fang,China Digital,111281,2008-2-12
Cold Harvest (1999),,110765,2008-1-18
50 Meters Line Between Alive or Dead,,87561,2008-9-4
Left Right,Xingmei,85379,2008-4-1
Ye Man De Wen Rou (Barbarian Tender),,81803,2008-6-26
T-Rex: Back to the Cretaceous (IMAX),,80546,2008-7-10
Wei Dao Nan Nv ,,73073,2008-11-14
Zhou Guo Ping (Road to Home),,58274,2008-10-24
Hutushenpan,,55002,2008-1-11
Tamendechuan,,54969,2008-3-21
Salir pitando (Blinkers),,53555,2008-1-10
